id;name;description;layout;config;is_default;created_date;updated_date
1;abaft aged;strong avaricious;drag an;../fake-data/blob/hipster.txt;false;2026-06-30T11:45:43;2026-06-29T21:13:32
2;viability;whoa furthermore;internalise;../fake-data/blob/hipster.txt;false;2026-06-30T10:16:16;2026-06-30T14:14:51
3;lest;imaginary toe;forgery;../fake-data/blob/hipster.txt;false;2026-06-30T11:09:08;2026-06-30T02:28:18
4;defiantly;advanced proud strict;finally;../fake-data/blob/hipster.txt;false;2026-06-29T23:14:29;2026-06-30T03:55:32
5;confusion absent ick;pear purple rural;midst outside;../fake-data/blob/hipster.txt;true;2026-06-30T12:16:22;2026-06-30T10:00:37
6;though;knottily lender long;flu;../fake-data/blob/hipster.txt;true;2026-06-30T08:23:05;2026-06-30T14:14:16
7;even delectable beyond;concentration;bashfully sharply doing;../fake-data/blob/hipster.txt;true;2026-06-30T11:33:00;2026-06-30T01:01:58
8;abaft frilly;gee shocked ick;joyful;../fake-data/blob/hipster.txt;true;2026-06-30T16:18:45;2026-06-29T19:05:46
9;rightfully scheme;towards or gadzooks;save ravioli switch;../fake-data/blob/hipster.txt;false;2026-06-30T12:37:22;2026-06-30T10:34:59
10;meal;helpful curl certainly;unsightly;../fake-data/blob/hipster.txt;true;2026-06-30T05:40:13;2026-06-30T06:14:03
