id;code;name;description;start_date;end_date;budget;progress;status
1;however;mmm expense gratefully;../fake-data/blob/hipster.txt;2026-06-29;2026-06-30;22548.72;69;ACTIVE
2;boastfully attractio;manner summary;../fake-data/blob/hipster.txt;2026-06-29;2026-06-29;24076.62;19;PLANNED
3;receptor;purple;../fake-data/blob/hipster.txt;2026-06-30;2026-06-30;26415.01;65;ON_HOLD
4;willfully;strait engender rationalize;../fake-data/blob/hipster.txt;2026-06-30;2026-06-29;11885.02;40;COMPLETED
5;salty bitterly from;collaborate ha against;../fake-data/blob/hipster.txt;2026-06-30;2026-06-30;15966.99;52;ACTIVE
6;oof;since;../fake-data/blob/hipster.txt;2026-06-30;2026-06-30;31037.64;37;ACTIVE
7;lift zowie bitterly;and stigmatize decision;../fake-data/blob/hipster.txt;2026-06-30;2026-06-29;26028.68;9;COMPLETED
8;even from;unto ouch;../fake-data/blob/hipster.txt;2026-06-30;2026-06-29;12235;86;PLANNED
9;likewise underneath ;wiggly trustworthy;../fake-data/blob/hipster.txt;2026-06-30;2026-06-30;19918.42;97;ON_HOLD
10;showboat of pish;dusk;../fake-data/blob/hipster.txt;2026-06-30;2026-06-29;15228.62;100;CANCELLED
