id;name;goal;start_date;end_date;status;capacity;velocity
1;whenever barring suffice;../fake-data/blob/hipster.txt;2026-06-30;2026-06-30;COMPLETED;9152;648
2;by;../fake-data/blob/hipster.txt;2026-06-30;2026-06-30;PLANNED;9470;20696
3;starch near besides;../fake-data/blob/hipster.txt;2026-06-30;2026-06-30;PLANNED;32478;17943
4;safely;../fake-data/blob/hipster.txt;2026-06-30;2026-06-30;ACTIVE;16474;9770
5;experience apud unique;../fake-data/blob/hipster.txt;2026-06-29;2026-06-30;PLANNED;16753;17610
6;pleased mockingly regarding;../fake-data/blob/hipster.txt;2026-06-29;2026-06-29;ACTIVE;13149;5283
7;galvanize vice who;../fake-data/blob/hipster.txt;2026-06-30;2026-06-30;COMPLETED;29750;32093
8;integer underneath;../fake-data/blob/hipster.txt;2026-06-30;2026-06-30;ACTIVE;11594;5622
9;enchanted phooey ceramics;../fake-data/blob/hipster.txt;2026-06-30;2026-06-29;PLANNED;8719;11984
10;aside;../fake-data/blob/hipster.txt;2026-06-30;2026-06-30;PLANNED;22254;1311
