id;description;start_time;end_time;hours;entry_date
1;cool violently secret;2026-06-30T09:31:16;2026-06-29T20:23:24;1592.65;2026-06-30
2;since elliptical jury;2026-06-30T06:41:54;2026-06-30T00:46:56;29572.81;2026-06-30
3;whup;2026-06-30T14:07:02;2026-06-30T06:07:42;7108.89;2026-06-30
4;bah to;2026-06-30T11:40:32;2026-06-29T18:34:44;16023.88;2026-06-29
5;bulky;2026-06-29T18:12:56;2026-06-30T08:39:45;10537.69;2026-06-30
6;abaft innovate notwithstanding;2026-06-30T13:31:56;2026-06-30T12:33:14;21508.42;2026-06-30
7;blah excellent pitiful;2026-06-30T01:20:56;2026-06-29T21:43:10;28064.83;2026-06-30
8;dream;2026-06-30T03:15:43;2026-06-30T01:54:08;13175.34;2026-06-29
9;blah uh-huh;2026-06-30T05:41:33;2026-06-30T02:53:58;9387.44;2026-06-30
10;ouch;2026-06-29T22:18:58;2026-06-29T20:33:29;22809.48;2026-06-30
